iter	Passed	Remaining
0	1	150
1	2	139
2	4	140
3	5	132
4	7	133
5	8	129
6	9	128
7	11	126
8	12	124
9	13	121
10	14	119
11	16	117
12	17	115
13	18	114
14	20	113
15	21	111
16	22	110
17	23	108
18	25	106
19	26	104
20	27	103
21	28	101
22	29	100
23	31	98
24	32	97
25	33	96
26	35	94
27	36	93
28	37	91
29	38	90
30	39	88
31	41	87
32	42	86
33	43	84
34	44	83
35	46	82
36	47	81
37	49	80
38	50	78
39	51	77
40	52	76
41	53	73
42	54	72
43	56	71
44	57	69
45	58	68
46	59	67
47	61	66
48	62	64
49	63	63
50	64	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	72	52
58	74	51
59	75	50
60	76	48
61	77	47
62	78	46
63	80	45
64	81	43
65	82	42
66	83	41
67	84	39
68	86	38
69	87	37
70	88	36
71	89	34
72	90	33
73	92	32
74	93	31
75	95	30
76	96	28
77	97	27
78	98	26
79	99	24
80	101	23
81	102	22
82	103	21
83	104	19
84	105	18
85	107	17
86	108	16
87	109	14
88	111	13
89	112	12
90	113	11
91	114	9
92	115	8
93	117	7
94	118	6
95	119	4
96	120	3
97	122	2
98	123	1
99	124	0
